Timestamp,Temperature,Humidity,Light Intensity,Co2 Concentration,Door Status,Motion Status
2025-07-15T11:33:31.624877,26.90,60.50,21,400,Open,Inactivity
2025-07-15T11:33:37.151343,26.90,60.60,18,400,Open,Inactivity
2025-07-15T11:33:42.654101,26.90,60.60,18,400,Open,Inactivity
2025-07-15T11:33:48.176616,26.90,60.50,18,400,Open,Inactivity
2025-07-15T11:33:53.665900,26.90,60.50,17,400,Open,Inactivity
2025-07-15T11:33:59.173566,26.90,60.60,17,400,Open,Inactivity
2025-07-15T11:34:04.698844,26.90,60.60,17,400,Open,Inactivity
2025-07-15T11:34:10.188711,26.80,60.50,17,400,Open,Moving
2025-07-15T11:34:15.742120,26.80,60.60,17,400,Open,Inactivity
2025-07-15T11:34:21.195131,26.80,60.60,19,400,Open,Inactivity
2025-07-15T11:34:26.694754,26.80,60.50,18,400,Open,Inactivity
2025-07-15T11:34:32.268510,-,-,-,-,-,-
2025-07-15T11:34:37.762735,26.80,60.50,18,400,Open,Inactivity
2025-07-15T11:34:43.227521,26.90,60.50,18,400,Open,Inactivity
2025-07-15T11:34:48.703574,26.90,60.50,18,400,Open,Inactivity
2025-07-15T11:34:53.141542,-,-,-,-,-,-
2025-07-15T11:34:58.724905,26.80,60.50,18,400,Open,Inactivity
2025-07-15T11:35:04.144811,26.80,60.50,19,400,Open,Inactivity
2025-07-15T11:35:09.662399,26.80,60.50,20,400,Open,Inactivity
2025-07-15T11:35:14.104431,-,-,-,-,-,-
2025-07-15T11:35:19.628542,26.80,60.50,20,400,Open,Inactivity
2025-07-15T11:35:25.166777,26.80,60.50,20,400,Open,Inactivity
2025-07-15T11:35:30.693821,26.80,60.50,18,400,Open,Inactivity
2025-07-15T11:35:36.159743,26.80,60.50,17,400,Open,Inactivity
2025-07-15T11:35:41.650099,26.80,60.50,17,400,Open,Inactivity
2025-07-15T11:35:47.191418,26.80,60.50,17,400,Open,Inactivity
2025-07-15T11:35:52.723005,26.80,60.50,17,400,Open,Inactivity
2025-07-15T11:35:58.175830,-,-,-,-,-,-
2025-07-15T11:36:03.668640,26.80,60.50,19,400,Open,Inactivity
2025-07-15T11:36:09.158758,26.80,60.50,16,400,Open,Inactivity
2025-07-15T11:36:14.747725,26.80,60.50,15,400,Open,Inactivity
2025-07-15T11:36:20.249852,-,-,-,-,-,-
2025-07-15T11:36:25.901094,26.80,60.50,14,400,Open,Moving
2025-07-15T11:36:31.442892,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:36:36.982742,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:36:42.492392,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:36:48.026760,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:36:53.578116,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:36:59.099338,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:37:04.623490,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:37:10.156704,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:37:15.643786,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:21.172758,26.70,60.50,14,400,Open,Moving
2025-07-15T11:37:26.722080,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:32.213872,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:37.720139,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:43.218284,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:48.729107,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:37:54.201273,-,-,-,-,-,-
2025-07-15T11:37:59.714329,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:05.169337,26.80,60.50,14,400,Open,Inactivity
2025-07-15T11:38:10.905307,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:16.428811,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:21.955701,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:27.562710,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:33.130877,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:38.613422,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:44.163337,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:49.674885,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:55.154270,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:38:59.567682,-,-,-,-,-,-
2025-07-15T11:39:05.060733,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:39:10.505918,26.70,60.50,14,400,Open,Moving
2025-07-15T11:39:16.065029,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:39:21.530353,26.70,60.60,14,400,Open,Inactivity
2025-07-15T11:39:27.090666,26.70,60.50,14,400,Open,Inactivity
2025-07-15T11:39:32.667966,26.70,60.50,14,400,Open,Moving
2025-07-15T11:39:38.335465,26.70,60.50,13,400,Open,Inactivity
2025-07-15T11:39:43.890977,26.70,60.50,13,400,Open,Inactivity
2025-07-15T11:39:49.399229,26.70,60.50,13,400,Open,Inactivity
2025-07-15T11:40:39.048336,26.70,60.60,11,0,Open,Inactivity
2025-07-15T11:40:44.611171,26.70,60.50,11,0,Open,Inactivity
2025-07-15T11:40:50.130814,26.70,60.50,11,0,Open,Inactivity
2025-07-15T11:40:55.540229,26.70,60.50,11,0,Open,Inactivity
2025-07-15T11:41:01.093060,26.70,60.50,12,0,Open,Inactivity
2025-07-15T11:41:06.634549,26.70,60.50,12,0,Open,Inactivity
2025-07-15T11:41:12.158073,26.70,60.50,12,0,Open,Inactivity
2025-07-15T11:41:17.610311,26.70,60.50,12,0,Open,Inactivity
2025-07-15T11:41:23.181923,26.70,60.50,12,0,Open,Inactivity
2025-07-15T11:41:28.607774,26.60,60.50,13,0,Open,Inactivity
2025-07-15T11:41:34.120120,26.60,60.50,13,0,Open,Inactivity
2025-07-15T11:41:39.658024,26.70,60.50,13,0,Open,Inactivity
2025-07-15T11:41:45.202125,26.70,60.50,13,0,Open,Inactivity
2025-07-15T11:41:50.619986,26.70,60.50,13,0,Open,Inactivity
2025-07-15T11:41:56.142224,26.70,60.50,13,0,Open,Inactivity
2025-07-15T11:42:01.830250,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:11.316480,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:16.845648,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:22.358330,-,-,-,-,-,-
2025-07-15T11:42:27.856129,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:33.433683,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:38.944948,26.60,60.50,14,0,Open,Inactivity
2025-07-15T11:42:44.408462,-,-,-,-,-,-
2025-07-15T11:42:49.946476,26.60,60.50,15,0,Open,Inactivity
2025-07-15T11:43:45.479466,26.60,60.50,16,0,Open,Inactivity
2025-07-15T11:43:51.164594,26.60,60.50,16,0,Open,Inactivity
2025-07-15T11:43:56.777084,26.60,60.50,16,0,Open,Inactivity
